date,open,high,low,close,adj_close,volume,symbol
2002-07-01,41.4286,42.142899,41.0714,41.1786,21.890375,66063.0,CUMMINSIND
2002-07-02,41.214298,41.607101,40.714298,41.0714,21.833389,82526.0,CUMMINSIND
2002-07-03,41.392899,41.785702,40.785702,40.964298,21.776453,71071.0,CUMMINSIND
2002-07-04,41.4286,43.4286,41.0714,42.357101,22.516865,282323.0,CUMMINSIND
2002-07-05,43.214298,44.035702,42.357101,42.6786,22.687778,346508.0,CUMMINSIND
2002-07-08,43.607101,45.642899,43.535702,44.8214,23.826874,543747.0,CUMMINSIND
2002-07-09,45.285702,45.714298,43.9286,44.142899,23.466196,239768.0,CUMMINSIND
2002-07-10,44.642899,44.642899,42.5,42.75,22.725729,104104.0,CUMMINSIND
2002-07-11,42.5714,42.785702,41.4286,41.5714,22.099194,106319.0,CUMMINSIND
2002-07-12,42.107101,42.5,40.5714,40.857101,21.719471,125902.0,CUMMINSIND
2002-07-15,43.5,43.5,39.642899,39.964298,21.244856,164772.0,CUMMINSIND
2002-07-16,40.6786,41.0714,39.892899,40.0714,21.3018,90895.0,CUMMINSIND
2002-07-17,40.3214,40.857101,40.0,40.5,21.529631,78310.0,CUMMINSIND
2002-07-18,41.4286,41.785702,40.107101,40.714298,21.643559,103883.0,CUMMINSIND
2002-07-19,40.785702,41.035702,40.535702,40.8214,21.700497,38650.0,CUMMINSIND
2002-07-22,40.535702,42.142899,40.535702,40.785702,21.681517000000003,112444.0,CUMMINSIND
2002-07-23,40.714298,41.4286,40.5,41.0,21.795435,63974.0,CUMMINSIND
2002-07-24,41.214298,41.357101,39.642899,40.1786,21.35878,129234.0,CUMMINSIND
2002-07-25,40.892899,41.785702,40.0,40.0,21.26384,59066.0,CUMMINSIND
2002-07-26,39.285702,39.9286,38.5714,39.464298,20.979060999999998,83461.0,CUMMINSIND
2002-07-29,36.5,37.857101,34.464298,35.785702,19.023535,299093.0,CUMMINSIND
2002-07-30,36.785702,37.3214,36.142899,36.5714,19.441214000000002,74186.0,CUMMINSIND
2002-07-31,35.8214,37.75,35.714298,37.4286,19.896891,71012.0,CUMMINSIND
2002-08-01,37.6786,38.1786,37.142899,37.214298,19.782974,50455.0,CUMMINSIND
2002-08-02,37.0714,37.642899,36.4286,37.142899,19.745012,63561.0,CUMMINSIND
2002-08-05,37.785702,37.785702,36.9286,37.142899,19.745012,30201.0,CUMMINSIND
2002-08-06,37.1786,37.8214,37.142899,37.464298,19.915873,27782.0,CUMMINSIND
2002-08-07,37.9286,37.9286,36.8214,36.964298,19.650072,65058.0,CUMMINSIND
2002-08-08,37.3214,37.4286,36.107101,36.357101,19.327291,24858.0,CUMMINSIND
2002-08-09,36.857101,37.785702,36.6786,37.357101,19.858887,35914.0,CUMMINSIND
2002-08-12,37.1786,37.5,36.857101,37.0,19.66905,28031.0,CUMMINSIND
2002-08-13,37.0,37.5,36.9286,37.0714,19.707008,12992.0,CUMMINSIND
2002-08-14,36.892899,41.857101,36.785702,38.714298,20.580368,386051.0,CUMMINSIND
2002-08-15,,,,,,,CUMMINSIND
2002-08-16,39.714298,39.9286,38.5714,39.1786,20.827188,175105.0,CUMMINSIND
2002-08-19,39.857101,40.0,39.1786,39.607101,21.054979,119204.0,CUMMINSIND
2002-08-20,39.892899,39.964298,39.142899,39.4286,20.960089,43756.0,CUMMINSIND
2002-08-21,39.75,39.9286,39.285702,39.3214,20.903101,33368.0,CUMMINSIND
2002-08-22,39.285702,39.642899,38.785702,39.357101,20.922073,94095.0,CUMMINSIND
2002-08-23,39.357101,39.642899,39.285702,39.4286,20.960089,32474.0,CUMMINSIND
2002-08-26,39.285702,39.535702,39.107101,39.1786,20.827188,74516.0,CUMMINSIND
2002-08-27,39.285702,39.4286,38.607101,38.892899,20.675311999999998,101945.0,CUMMINSIND
2002-08-28,38.9286,39.142899,38.75,38.9286,20.69429,49938.0,CUMMINSIND
2002-08-29,38.964298,39.285702,38.75,38.9286,20.69429,32978.0,CUMMINSIND
2002-08-30,38.9286,39.285702,38.892899,38.964298,20.713264000000002,31623.0,CUMMINSIND
2002-09-02,39.892899,39.892899,38.9286,39.214298,20.846165,40708.0,CUMMINSIND
2002-09-03,38.857101,38.857101,37.5714,38.0,21.004082,52454.0,CUMMINSIND
2002-09-04,37.857101,38.214298,37.142899,37.464298,20.707981,50634.0,CUMMINSIND
2002-09-05,37.8214,37.857101,37.142899,37.214298,20.569794,20681.0,CUMMINSIND
2002-09-06,37.214298,38.0,36.4286,36.5,20.174974,36138.0,CUMMINSIND
2002-09-09,37.035702,37.035702,35.785702,36.1786,19.997324,35272.0,CUMMINSIND
2002-09-10,,,,,,,CUMMINSIND
2002-09-11,36.607101,36.75,36.0714,36.3214,20.07626,17004.0,CUMMINSIND
2002-09-12,36.4286,36.5714,35.785702,36.0,19.898611,35036.0,CUMMINSIND
2002-09-13,36.25,36.285702,35.4286,35.5714,19.661704999999998,47937.0,CUMMINSIND
2002-09-16,36.3214,36.3214,35.5,35.642899,19.701221,29201.0,CUMMINSIND
2002-09-17,35.714298,36.0714,35.4286,35.714298,19.740688000000002,161771.0,CUMMINSIND
2002-09-18,35.714298,36.25,35.357101,35.535702,19.64197,26272.0,CUMMINSIND
2002-09-19,35.142899,35.4286,34.6786,34.785702,19.227411,27493.0,CUMMINSIND
2002-09-20,34.3214,35.1786,34.3214,34.8214,19.247145,17270.0,CUMMINSIND
2002-09-23,34.857101,35.5,34.5,34.642899,19.148481,158409.0,CUMMINSIND
2002-09-24,34.785702,34.785702,34.3214,34.392899,19.010302,12180.0,CUMMINSIND
2002-09-25,34.3214,34.642899,34.0714,34.142899,18.87211,17669.0,CUMMINSIND
2002-09-26,34.142899,34.642899,33.9286,34.107101,18.852325,11529.0,CUMMINSIND
