SYMBOL,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CHNG,%CHNG,VOLUME (shares),VALUE,52W H,52W L,365 D % CHNG  06-Sep-2019,30 D % CHNG  07-Aug-2020
INDUSINDBK,621.50,624.95,597.55,616.15,607.00,-9.15,-1.49,13890403,"8,507,606,484.93","1,596.55",235.55,-53.71,21.05
BHARTIARTL,525.00,528.00,510.30,523.15,515.00,-8.15,-1.56,16147428,"8,347,491,326.35",612.00,325.50,49.79,-6.71
ONGC,78.20,78.35,75.95,77.90,76.60,-1.3,-1.67,16574103,"1,271,675,831.05",149.65,50.00,-39.12,-0.95
HEROMOTOCO,"2,930.00","2,934.90","2,852.00","2,915.20","2,864.95",-50.25,-1.72,1476040,"4,251,092,762.66","3,181.35","1,475.00",9.6,7.72
ULTRACEMCO,"3,925.00","3,990.00","3,821.00","3,916.10","3,844.85",-71.25,-1.82,704103,"2,717,832,361.96","4,754.10","2,910.00",0.22,-2.2
NTPC,94.80,96.00,92.05,94.70,92.60,-2.1,-2.22,28474983,"2,650,166,667.81",129.65,73.20,-25.43,10.37
GAIL,98.00,98.85,94.85,98.05,95.85,-2.2,-2.24,11148827,"1,072,181,730.89",148.75,65.00,-25.35,1.19
BAJFINANCE,"3,607.00","3,629.00","3,477.60","3,596.80","3,508.00",-88.8,-2.47,4665183,"16,501,772,204.64","4,923.40","1,783.00",6.64,3.82
UPL,509.50,510.45,490.80,508.45,495.20,-13.25,-2.61,5255103,"2,601,538,245.10",617.75,240.15,-10.48,5.86
M&M,632.30,633.85,605.30,632.00,610.30,-21.7,-3.43,9388041,"5,753,430,897.20",656.00,245.40,19.36,5.25
