"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 02, 2014","9,507.02","9,525.15","9,578.50","9,485.24","55.16M","0.30%"
"Sep 01, 2014","9,479.03","9,484.53","9,500.20","9,424.78","43.07M","0.09%"
"Aug 29, 2014","9,470.17","9,483.42","9,517.95","9,369.40","68.47M","0.08%"
"Aug 28, 2014","9,462.56","9,545.21","9,546.81","9,417.16","72.12M","-1.12%"
"Aug 27, 2014","9,569.71","9,583.98","9,600.85","9,546.55","69.03M","-0.19%"
"Aug 26, 2014","9,588.15","9,481.56","9,591.72","9,446.37","66.74M","0.82%"
"Aug 25, 2014","9,510.14","9,456.67","9,510.14","9,424.11","53.55M","1.83%"
"Aug 22, 2014","9,339.17","9,390.29","9,414.39","9,291.93","70.04M","-0.66%"
"Aug 21, 2014","9,401.53","9,328.71","9,405.93","9,278.86","67.87M","0.93%"
"Aug 20, 2014","9,314.57","9,329.89","9,333.68","9,247.84","63.23M","-0.21%"
"Aug 19, 2014","9,334.28","9,276.19","9,350.27","9,276.18","57.79M","0.96%"
"Aug 18, 2014","9,245.33","9,220.99","9,261.65","9,195.11","63.82M","1.68%"
"Aug 15, 2014","9,092.60","9,239.00","9,324.57","9,067.58","110.26M","-1.44%"
"Aug 14, 2014","9,225.10","9,161.81","9,265.92","9,149.41","80.39M","0.29%"
"Aug 13, 2014","9,198.88","9,133.84","9,213.61","9,118.15","82.25M","1.43%"
"Aug 12, 2014","9,069.47","9,166.92","9,171.94","9,050.00","74.77M","-1.21%"
"Aug 11, 2014","9,180.74","9,106.67","9,199.00","9,089.31","81.23M","1.90%"
"Aug 08, 2014","9,009.32","8,928.19","9,061.00","8,903.49","102.52M","-0.33%"
"Aug 07, 2014","9,038.97","9,081.29","9,166.04","9,025.82","97.95M","-1.00%"
"Aug 06, 2014","9,130.04","9,084.52","9,166.21","9,030.72","98.90M","-0.65%"
"Aug 05, 2014","9,189.74","9,186.03","9,237.14","9,152.38","80.56M","0.39%"
"Aug 04, 2014","9,154.14","9,222.05","9,243.23","9,130.34","85.30M","-0.61%"
"Aug 01, 2014","9,210.08","9,379.74","9,394.48","9,185.41","141.58M","-2.10%"
"Jul 31, 2014","9,407.48","9,576.16","9,582.74","9,395.35","131.08M","-1.94%"
"Jul 30, 2014","9,593.68","9,646.43","9,704.01","9,572.90","79.99M","-0.62%"
"Jul 29, 2014","9,653.63","9,607.10","9,692.33","9,573.48","66.00M","0.58%"
"Jul 28, 2014","9,598.17","9,660.71","9,665.05","9,527.59","72.00M","-0.48%"
"Jul 25, 2014","9,644.01","9,770.24","9,794.85","9,620.58","73.40M","-1.53%"
"Jul 24, 2014","9,794.06","9,772.15","9,810.47","9,674.68","70.37M","0.42%"
"Jul 23, 2014","9,753.56","9,727.43","9,802.06","9,723.98","64.74M","0.20%"
"Jul 22, 2014","9,734.33","9,682.21","9,735.71","9,647.74","62.37M","1.27%"
"Jul 21, 2014","9,612.05","9,711.68","9,717.70","9,597.62","65.24M","-1.11%"
"Jul 18, 2014","9,720.02","9,703.67","9,721.08","9,655.51","118.11M","-0.35%"
"Jul 17, 2014","9,753.88","9,819.45","9,845.85","9,743.62","76.54M","-1.07%"
"Jul 16, 2014","9,859.27","9,747.88","9,871.58","9,747.52","69.46M","1.44%"
"Jul 15, 2014","9,719.41","9,764.69","9,788.71","9,711.86","72.13M","-0.65%"
"Jul 14, 2014","9,783.01","9,710.92","9,793.78","9,693.89","56.26M","1.21%"
"Jul 11, 2014","9,666.34","9,672.17","9,708.43","9,623.36","62.28M","0.07%"
"Jul 10, 2014","9,659.13","9,807.25","9,807.25","9,617.59","96.88M","-1.52%"
"Jul 09, 2014","9,808.20","9,789.05","9,817.47","9,752.79","73.59M","0.36%"
"Jul 08, 2014","9,772.67","9,918.27","9,920.78","9,772.14","85.87M","-1.35%"
"Jul 07, 2014","9,906.07","9,992.13","10,015.36","9,905.60","60.51M","-1.03%"
"Jul 04, 2014","10,009.08","10,028.71","10,030.81","10,007.40","52.05M","-0.20%"
"Jul 03, 2014","10,029.43","9,910.47","10,032.28","9,907.01","78.29M","1.19%"
"Jul 02, 2014","9,911.27","9,913.00","9,936.39","9,890.11","70.23M","0.09%"
"Jul 01, 2014","9,902.41","9,853.74","9,902.41","9,835.74","54.52M","0.71%"
"Jun 30, 2014","9,833.07","9,833.85","9,889.49","9,800.08","66.65M","0.18%"
"Jun 27, 2014","9,815.17","9,818.46","9,836.68","9,791.13","63.25M","0.10%"
"Jun 26, 2014","9,804.90","9,894.55","9,898.38","9,749.75","94.93M","-0.64%"
"Jun 25, 2014","9,867.75","9,883.78","9,914.12","9,836.46","82.31M","-0.71%"
"Jun 24, 2014","9,938.08","9,938.64","9,948.59","9,899.47","61.27M","0.17%"
"Jun 23, 2014","9,920.92","9,991.40","9,993.02","9,885.96","68.73M","-0.66%"
"Jun 20, 2014","9,987.24","9,995.50","10,050.98","9,987.24","209.56M","-0.17%"
"Jun 19, 2014","10,004.00","10,018.91","10,023.55","9,993.03","86.69M","0.74%"
"Jun 18, 2014","9,930.33","9,932.04","9,964.02","9,922.07","72.98M","0.10%"
"Jun 17, 2014","9,920.32","9,915.20","9,982.89","9,861.29","72.08M","0.37%"
"Jun 16, 2014","9,883.98","9,885.97","9,925.85","9,872.77","64.03M","-0.29%"
"Jun 13, 2014","9,912.87","9,920.49","9,944.57","9,829.09","79.42M","-0.26%"
"Jun 12, 2014","9,938.70","9,950.52","9,970.38","9,917.61","68.48M","-0.11%"
"Jun 11, 2014","9,949.81","10,022.99","10,024.84","9,921.26","96.29M","-0.79%"
"Jun 10, 2014","10,028.80","9,998.51","10,033.74","9,987.69","64.85M","0.20%"
"Jun 09, 2014","10,008.63","9,994.40","10,009.60","9,985.87","43.20M","0.21%"
"Jun 06, 2014","9,987.19","9,954.01","10,000.92","9,941.65","92.99M","0.40%"
"Jun 05, 2014","9,947.83","9,929.41","10,013.69","9,896.09","129.94M","0.21%"
"Jun 04, 2014","9,926.67","9,903.82","9,928.96","9,866.97","66.44M","0.07%"
"Jun 03, 2014","9,919.74","9,949.96","9,954.78","9,887.01","71.97M","-0.31%"
"Jun 02, 2014","9,950.12","9,986.86","9,992.33","9,907.77","57.92M","0.07%"
"May 30, 2014","9,943.27","9,926.73","9,970.77","9,924.63","103.68M","0.04%"
"May 29, 2014","9,938.90","9,937.66","9,956.24","9,917.97","65.74M","-0.00%"
"May 28, 2014","9,939.17","9,950.74","9,957.87","9,898.26","72.75M","-0.02%"
"May 27, 2014","9,940.82","9,893.33","9,951.90","9,879.64","79.80M","0.49%"
"May 26, 2014","9,892.82","9,826.91","9,893.81","9,821.68","53.85M","1.28%"
"May 23, 2014","9,768.01","9,722.63","9,779.59","9,704.75","65.28M","0.48%"
"May 22, 2014","9,720.91","9,731.45","9,734.14","9,689.13","63.70M","0.24%"
"May 21, 2014","9,697.87","9,615.86","9,709.91","9,583.56","86.24M","0.61%"
"May 20, 2014","9,639.08","9,644.80","9,685.56","9,613.91","67.59M","-0.21%"
"May 19, 2014","9,659.39","9,607.32","9,676.52","9,534.56","97.86M","0.31%"
"May 16, 2014","9,629.10","9,646.56","9,670.90","9,577.90","113.09M","-0.28%"
"May 15, 2014","9,656.05","9,741.25","9,810.29","9,631.57","133.90M","-1.01%"
"May 14, 2014","9,754.39","9,765.62","9,772.09","9,733.21","76.08M","-0.00%"
"May 13, 2014","9,754.43","9,751.05","9,783.72","9,732.34","96.84M","0.54%"
"May 12, 2014","9,702.46","9,608.93","9,710.34","9,587.14","87.51M","1.26%"
"May 09, 2014","9,581.45","9,591.32","9,602.86","9,558.11","80.08M","-0.27%"
"May 08, 2014","9,607.40","9,547.27","9,622.30","9,487.57","102.02M","0.90%"
"May 07, 2014","9,521.30","9,418.50","9,554.35","9,410.08","92.73M","0.57%"
"May 06, 2014","9,467.53","9,570.25","9,571.63","9,440.47","82.06M","-0.65%"
"May 05, 2014","9,529.50","9,536.38","9,548.17","9,407.09","61.91M","-0.28%"
